nom,dos,Name,time_cost,time_cost_background_color,background_color,artwork,type_line_left,tags,tags_text,rules_text,taste,taste_background_color,faction,folder
Deep-Fried Pickles,,Deep-Fried Pickles,2,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/deep_fried_pickles.png,Dish - Appetizer,,Fried,During judging if you present another Fried dish this gets +2 Taste and each opponent gains Food Coma.,1,#FFF2B8,American,DishDeckbuilder
Sloppy Joe,,Sloppy Joe,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sloppy_joe.png,Dish - Main,,"Meat, Tomato",During judging if you present another Tomato dish gain +1 Favor.,2,#FFF2B8,American,DishDeckbuilder
Sushi Set,,Sushi Set,4,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sushi_set.png,Dish - Main,,"Seafood, Rice",During judging if you present Appetizer Main and Dessert gain +2 Favor.,3,#FFF2B8,Japanese,DishDeckbuilder
Onigiri,,Onigiri,2,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/onigiri.png,Dish - Extra,,Rice,"Look at the top 3 cards of your deck. Discard up to 1 of them. If it is a Status, Peel it instead.",1,#FFF2B8,Japanese,DishDeckbuilder
Tempura,,Tempura,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tempura.png,Dish - Appetizer,,"Seafood, Fried",During judging if you present no duplicate core course this gets +1 Taste.,2,#FFF2B8,Japanese,DishDeckbuilder
Katsu Curry Rice,,Katsu Curry Rice,4,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/katsu_curry_rice.png,Dish - Main,,"Fried, Rice",If you Peeled this turn this gets +1 Taste.,3,#FFF2B8,Japanese,DishDeckbuilder
Sashimi,,Sashimi,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sashimi.png,Dish - Appetizer,,Seafood,"Draw 2 then discard 1. If you discard a Status, gain 1 Time.",2,#FFF2B8,Japanese,DishDeckbuilder
Takoyaki,,Takoyaki,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/takoyaki.png,Dish - Extra,,"Seafood, Fried",If this is your only Extra you may Peel 1. Then look at the top 2 cards of your deck and put them back in any order.,2,#FFF2B8,Japanese,DishDeckbuilder
Margherita Pizza,,Margherita Pizza,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/margherita_pizza.png,Dish - Main,,"Cheese, Tomato",During judging if you present another Cheese or Tomato dish this gets +1 Taste.,2,#FFF2B8,Italian,DishDeckbuilder
Spaghetti Bolognese,,Spaghetti Bolognese,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/spaghetti_bolognese.png,Dish - Main,,Tomato,If the Judge does not favor you this gets +2 Taste.,2,#FFF2B8,Italian,DishDeckbuilder
Caprese,,Caprese,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/caprese.png,Dish - Appetizer,,"Cheese, Tomato",During judging if you present a Main gain +1 Favor.,2,#FFF2B8,Italian,DishDeckbuilder
Risotto,,Risotto,4,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/risotto.png,Dish - Main,,"Cheese, Rice",During judging if you present another Rice or Cheese dish gain +1 Favor.,3,#FFF2B8,Italian,DishDeckbuilder
Tiramisu,,Tiramisu,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tiramisu.png,Dish - Dessert,,,If the Judge does not favor you gain +2 Favor.,2,#FFF2B8,Italian,DishDeckbuilder
Arancini,,Arancini,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/arancini.png,Dish - Appetizer,,"Cheese, Rice",During judging if you present another Rice dish gain +1 Favor.,2,#FFF2B8,Italian,DishDeckbuilder
Ghost Pepper Wings,,Ghost Pepper Wings,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/ghost_pepper_wings.png,Dish - Main,,"Meat, Fried","When you present this, Scorch 3.",6,#FFF2B8,American,DishDeckbuilder
Wasabi Challenge,,Wasabi Challenge,2,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wasabi_challenge.png,Dish - Appetizer,,Seafood,"When you present this, Scorch 2. If you Scorched a Status this way, gain 1 Favor.",4,#FFF2B8,Japanese,DishDeckbuilder
Side Salad,,Side Salad,2,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/side_salad.png,Dish - Flexible,,,"When you present this, choose which course it counts as.",1,#FFF2B8,Neutral,DishDeckbuilder
Tasting Menu,,Tasting Menu,4,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tasting_menu.png,Dish - Flexible,,,"When you present this, choose which course it counts as. If it completes all 3 core courses, gain 1 Time.",2,#FFF2B8,Neutral,DishDeckbuilder
Knife Skills,,Knife Skills,3,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/knife_skills.png,Technique,,,Upgrade a starter card by up to 2.,,#00000000,Neutral,DishDeckbuilder
Clean Station,,Clean Station,3,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/clean_station.png,Technique,,,"Peel up to 2 starter cards. If you peeled no cards this way, Peel Clean Station.",,#00000000,Neutral,DishDeckbuilder
Taste Test,,Taste Test,2,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/taste_test.png,Technique,,,Draw 3 then discard 1. You may Peel a starter or Status from your discard pile.,,#00000000,Neutral,DishDeckbuilder
Heckle,,Heckle,5,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/heckle.png,Technique,,,"Each opponent gains a Distraction. If there is only one opponent, they gain 2 Distractions instead.",,#00000000,Neutral,DishDeckbuilder
Perfect,,Perfect,4,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/perfect.png,Technique,,,Choose a Dish. Double its Taste this turn.,,#00000000,French,DishDeckbuilder
Mock,,Mock,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mock.png,Reaction,,,Choose an opponent's highest-Taste presented dish. It gets -2 Taste this turn. Draw 1.,,#00000000,French,DishDeckbuilder
Drown in Butter,,Drown in Butter,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/drown_in_butter.png,Reaction,,,Choose an opponent's presented dish. If it is not French it gets -3 Taste this turn and its owner gains Food Coma.,,#00000000,French,DishDeckbuilder
Mine Is Better,,Mine Is Better,4,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mine_is_better.png,Reaction,,,Reveal a Dish from your hand. If it has more Taste than an opponent's presented dish that dish gets -3 Taste this turn.,,#00000000,French,DishDeckbuilder
Bon Appetit!,,Bon Appetit!,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bon_appetit.png,Technique,,,Draw 1. During judging if one of your dishes has 5 or more Taste gain +2 Favor.,,#00000000,French,DishDeckbuilder
Supersize Me!,,Supersize Me!,5,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/supersize_me.png,Technique,,,During judging copy one of your dishes as an additional presented dish.,,#00000000,American,DishDeckbuilder
More Meat!,,More Meat!,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_meat.png,Technique,,Meat,Your Meat dishes get +1 Taste this turn. During judging if you present at least 2 Meat dishes gain +2 Favor.,,#00000000,American,DishDeckbuilder
Deep Fry,,Deep Fry,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/deep_fry.png,Technique,,Fried,Choose a Dish. It becomes Fried this turn and gets +2 Taste.,,#00000000,American,DishDeckbuilder
Party,,Party,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/party.png,Technique,,,Draw 1 and gain 1 Time. During judging if you present at least 3 dishes gain +2 Favor.,,#00000000,American,DishDeckbuilder
Ketchup Me That,,Ketchup Me That,2,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/ketchup_me_that.png,Technique,,"Meat, Fried",Choose a Meat or Fried dish. It gets +2 Taste.,,#00000000,American,DishDeckbuilder
Appropriate,,Appropriate,6,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/appropriate.png,Reaction,,,"Choose an opponent's presented dish. After that opponent scores, steal that dish and add it to your discard pile. Peel Appropriate.",,#00000000,American,DishDeckbuilder
Purify,,Purify,2,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/purify.png,Technique,,,"Peel up to 2 cards. If you Peel a Status this way, draw 1.",,#00000000,Japanese,DishDeckbuilder
Order,,Order,2,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/order.png,Technique,,,Look at the top 5 cards of your deck. Put 2 into your hand and the rest back in any order.,,#00000000,Japanese,DishDeckbuilder
Omakase,,Omakase,5,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/omakase.png,Technique,,,Reveal cards from your deck until you reveal a Dish. Present it. If it completes all 3 core courses gain +2 Favor.,,#00000000,Japanese,DishDeckbuilder
Less Is More,,Less Is More,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/less_is_more.png,Technique,,,During judging if you present exactly Appetizer Main and Dessert with no duplicate core course gain +5 Favor.,,#00000000,Japanese,DishDeckbuilder
Wasabi Attack,,Wasabi Attack,4,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wasabi_attack.png,Reaction,,Seafood,Choose an opponent's dish. It gets -1 Taste. If it is not Seafood it gets -3 Taste instead. Its owner Peels the top card of their deck.,,#00000000,Japanese,DishDeckbuilder
"Mangia, Mangia!",,"Mangia, Mangia!",2,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mangia_mangia.png,Technique,,,"Draw 1. If the Judge does not favor you, draw 2 and gain 1 Time instead.",,#00000000,Italian,DishDeckbuilder
Mamma Mia!,,Mamma Mia!,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mamma_mia.png,Technique,,,"Reveal cards from your deck until you reveal a Dish. Put it into your hand, then draw 1. If the Judge does not favor you, you may present that Dish this turn.",,#00000000,Italian,DishDeckbuilder
Secondo,,Secondo,6,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/secondo.png,Technique,,,During judging score one Main a second time.,,#00000000,Italian,DishDeckbuilder
Breaking Spaghetti Is A Crime,,Breaking Spaghetti Is A Crime,4,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/breaking_spaghetti_is_a_crime.png,Reaction,,,Each opponent who modified a dish this turn gains Shame. Choose one modified dish; it gets -2 Taste.,,#00000000,Italian,DishDeckbuilder
More Olive Oil!,,More Olive Oil!,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_olive_oil.png,Technique,,"Tomato, Cheese","Choose a Tomato or Cheese dish. It gets +2 Taste. If the Judge does not favor you, it gets +3 Taste instead.",,#00000000,Italian,DishDeckbuilder
More Parmigiano!,,More Parmigiano!,2,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_parmigiano.png,Technique,,"Cheese, Tomato",Choose a Main. It gets +2 Taste. If it is Cheese or Tomato it gets +3 Taste instead.,,#00000000,Italian,DishDeckbuilder
Market Research Focus Group,,Market Research Focus Group,2,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/market_research_focus_group.png,Technique,,,Rotate up to 3 cards in the market. Draw 1. Gain 1 Time.,,#00000000,Neutral,DishDeckbuilder
Yelp Bomb,,Yelp Bomb,3,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/yelp_bomb.png,Reaction,,,Choose an opponent. They gain a Yelp Review. Draw 1.,,#00000000,Neutral,DishDeckbuilder
Health Inspector Raid,,Health Inspector Raid,4,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/health_inspector_raid.png,Technique,,,Each opponent gains a Health Inspection. Rotate the whole market.,,#00000000,Neutral,DishDeckbuilder
We're Gonna Build A Wall,,We're Gonna Build A Wall,4,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/were_gonna_build_a_wall.png,Technique,,,"Each opponent gains a Health Inspection. Until your next turn, opponents cannot steal your dishes. If any opponent has more Favor than you, gain 1 Time.",,#00000000,American,DishDeckbuilder
Freedom Isn't Free Refills,,Freedom Isn't Free Refills,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/freedom_isnt_free_refills.png,Technique,,,Gain 2 Time. Each opponent gains Food Coma. During judging if you present an Extra gain +1 Favor.,,#00000000,American,DishDeckbuilder
Mandatory Lunch Strike,,Mandatory Lunch Strike,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mandatory_lunch_strike.png,Technique,,,Each opponent gains Strike. You may Peel a starter card.,,#00000000,French,DishDeckbuilder
You Call That Sushi?,,You Call That Sushi?,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/you_call_that_sushi.png,Reaction,,,"Each opponent Peels the top card of their deck. For each Status Peeled this way, draw 1.",,#00000000,Japanese,DishDeckbuilder
Nonna Says No,,Nonna Says No,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonna_says_no.png,Reaction,,,Cancel one Taste reduction or opponent modifier on one of your dishes. That opponent gains Shame.,,#00000000,Italian,DishDeckbuilder
Pineapple Tribunal,,Pineapple Tribunal,4,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/pineapple_tribunal.png,Technique,,"Tomato, Cheese","Each opponent who presented or modified a Tomato or Cheese dish this turn gains Shame. If any of those dishes is American, its owner also gains a Distraction.",,#00000000,Italian,DishDeckbuilder
Pantry Raid,,Pantry Raid,3,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/pantry_raid.png,Technique,,,"Draw 3 then discard 2. If you discarded a Status, gain 1 Time.",,#00000000,Neutral,DishDeckbuilder
Mise En Place,,Mise En Place,3,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mise_en_place.png,Technique,,,Look at the top 6 cards of your deck. Put 2 into your hand and discard the rest.,,#00000000,Neutral,DishDeckbuilder
Doomscroll The Menu,,Doomscroll The Menu,2,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/doomscroll_the_menu.png,Technique,,,Look at the top 4 cards of your deck. Put 1 into your hand and discard the rest. Gain a Distraction.,,#00000000,Neutral,DishDeckbuilder
Chef's Kiss,,Chef's Kiss,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/chefs_kiss.png,Technique,,,Draw 2. Choose a Dish in your hand; it gets +1 Taste this turn.,,#00000000,French,DishDeckbuilder
Super Bowl Commercial Break,,Super Bowl Commercial Break,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/super_bowl_commercial_break.png,Technique,,,Draw 2. Each opponent may draw 1; each who does gains Food Coma.,,#00000000,American,DishDeckbuilder
Bento Box Planning,,Bento Box Planning,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bento_box_planning.png,Technique,,,Draw 1. Look at the top 4 cards of your deck and put them back in any order. You may discard any Statuses among them.,,#00000000,Japanese,DishDeckbuilder
Secret Family Recipe,,Secret Family Recipe,4,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/secret_family_recipe.png,Technique,,"Tomato, Cheese","Put a Dish from your discard pile into your hand. Draw 1. If it is Tomato or Cheese, gain 1 Time.",,#00000000,Italian,DishDeckbuilder
Midnight Snack,,Midnight Snack,2,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/midnight_snack.png,Technique,,,"Play a card from your Fridge. If it is a Dish, it gets +2 Taste this turn. Draw 1.",,#00000000,Neutral,DishDeckbuilder
Fridge Raid,,Fridge Raid,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fridge_raid.png,Technique,,,"Look at an opponent's Fridge. You may discard that card. If you do, that opponent gains Food Coma.",,#00000000,American,DishDeckbuilder
5 Stars,,5 Stars,7,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/five_stars.png,Passive,,,During judging if one of your dishes has strictly more Taste than every opponent's dish gain +2 Favor.,,#00000000,French,DishDeckbuilder
Bottomless Refills,,Bottomless Refills,5,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bottomless_refills.png,Passive,,,During judging if you present an Extra gain +2 Favor.,,#00000000,American,DishDeckbuilder
Conveyor Belt,,Conveyor Belt,5,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/conveyor_belt.png,Passive,,,"At the start of your turn look at the top 3 cards of your deck and put them back in any order. If any is a Status, you may Peel 1 of them.",,#00000000,Japanese,DishDeckbuilder
Nonna's Table,,Nonna's Table,6,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonnas_table.png,Passive,,,"The first time each turn you present 4 or more dishes gain +2 Favor. If the Judge does not favor you, gain +3 Favor instead.",,#00000000,Italian,DishDeckbuilder
Steakhouse,,Steakhouse,5,#D6A23A,#9A4D2E,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/steakhouse.png,Passive,,Meat,Your first Meat dish each turn gets +1 Taste. During judging if you present at least 2 Meat dishes gain +2 Favor.,,#00000000,French+American,DishDeckbuilder
Seafood Counter,,Seafood Counter,4,#D6A23A,#1F8A9B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/seafood_counter.png,Passive,,Seafood,During judging if you present a Seafood dish gain +1 Favor and you may Peel 1.,,#00000000,French+Japanese,DishDeckbuilder
Cheese Wheel,,Cheese Wheel,5,#D6A23A,#F2C14E,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/cheese_wheel.png,Passive,,Cheese,Your Cheese dishes get +1 Taste.,,#00000000,French+Italian,DishDeckbuilder
Fry Station,,Fry Station,4,#D6A23A,#D9822B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fry_station.png,Passive,,Fried,During judging if you present a Fried dish gain +2 Favor.,,#00000000,American+Japanese,DishDeckbuilder
Red Sauce Empire,,Red Sauce Empire,4,#D6A23A,#D6453D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/red_sauce_empire.png,Passive,,Tomato,Your Tomato dishes get +1 Taste and cost 1 less to learn.,,#00000000,American+Italian,DishDeckbuilder
Rice Cooker,,Rice Cooker,4,#D6A23A,#E6D8B8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/rice_cooker.png,Passive,,Rice,Rice dishes cost 1 less to learn. The first Rice dish you learn each turn goes on top of your deck even if it is not your first learned card.,,#00000000,Japanese+Italian,DishDeckbuilder
Burger Diplomacy,,Burger Diplomacy,6,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/burger_diplomacy.png,Passive,,"Meat, Tomato","When you learn this, each opponent gains a Burger from the market deck or supply. Your Burgers get +2 Taste. Opponents' Burgers count as Statuses for your effects.",,#00000000,American,DishDeckbuilder
Bureaucratic Cheese Inspection,,Bureaucratic Cheese Inspection,6,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bureaucratic_cheese_inspection.png,Passive,,Cheese,"Whenever an opponent presents a dish with 5 or more Taste, they gain a Yelp Review. Your tagless dishes cost 1 more Time to learn.",,#00000000,French,DishDeckbuilder
Conveyor Belt Shogunate,,Conveyor Belt Shogunate,6,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/conveyor_belt_shogunate.png,Passive,,,"At the start of your turn each player Peels the top card of their deck. If you Peel a Dish this way, you may present it this turn.",,#00000000,Japanese,DishDeckbuilder
Nonna's Witness Protection,,Nonna's Witness Protection,6,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonnas_witness_protection.png,Passive,,,"The first time each turn an opponent gives you a Status, give that opponent Shame. Whenever an opponent gains Shame, gain 1 Favor.",,#00000000,Italian,DishDeckbuilder
Influencer Kitchen,,Influencer Kitchen,4,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/influencer_kitchen.png,Passive,,,"Whenever you give a Status to an opponent, gain 1 Favor. At the start of your Fridge step, if you gave no Status this turn, gain a Distraction.",,#00000000,Neutral,DishDeckbuilder
