nom,dos,Name,time_cost,time_cost_background_color,artwork,type_line_left,tags_text,rules_text,taste_background_color,taste,faction,background_color,Name_taille,Name_couleurTexte,Name_couleurFond,time_cost_taille,time_cost_couleurTexte,time_cost_couleurFond,type_line_left_taille,type_line_left_couleurTexte,type_line_left_couleurFond,tags_text_taille,tags_text_couleurTexte,tags_text_couleurFond,rules_text_taille,rules_text_couleurTexte,rules_text_couleurFond,taste_taille,taste_couleurTexte,taste_couleurFond,faction_taille,faction_couleurTexte,faction_couleurFond,tags,folder,langue,fr_nom,en_nom,fr_Name,en_Name,fr_time_cost,en_time_cost,fr_type_line_left,en_type_line_left,fr_tags_text,en_tags_text,fr_rules_text,en_rules_text,fr_taste,en_taste,fr_faction,en_faction
Burger,,Burger,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/burger.png,Dish - Main,"Meat, Tomato",During judging if you present an Extra this gets +1 Taste.,#FFF2B8,2,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Burger,Burger,Burger,Burger,3,3,Plat - Principal,Dish - Main,"Viande, Tomate","Meat, Tomato",Au jugement si vous presentez un Extra ce plat gagne +1 Gout.,During judging if you present an Extra this gets +1 Taste.,2,2,Americain,American
Hot Dog,,Hot Dog,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/hot_dog.png,Dish - Main,Meat,"During judging if you present another Main this gets +2 Taste. If that Main is Meat, gain 1 Time.",#FFF2B8,2,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Hot dog,Hot Dog,Hot dog,Hot Dog,2,2,Plat - Principal,Dish - Main,Viande,Meat,"Au jugement si vous presentez un autre Plat ce plat gagne +2 Gout. Si ce Plat est Viande, gagnez 1 Temps.","During judging if you present another Main this gets +2 Taste. If that Main is Meat, gain 1 Time.",2,2,Americain,American
Fried Chicken,,Fried Chicken,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fried_chicken.png,Dish - Main,"Meat, Fried",During judging if you present another Fried dish this gets +2 Taste.,#FFF2B8,3,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Poulet frit,Fried Chicken,Poulet frit,Fried Chicken,4,4,Plat - Principal,Dish - Main,"Viande, Friture","Meat, Fried",Au jugement si vous presentez un autre plat Friture ce plat gagne +2 Gout.,During judging if you present another Fried dish this gets +2 Taste.,3,3,Americain,American
Freedom Fries,,Freedom Fries,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/french_fries.png,Dish - Extra,Fried,During judging if you present a Meat dish this gets +2 Taste and you gain 1 Time.,#FFF2B8,1,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Frites de la liberte,Freedom Fries,Frites de la liberte,Freedom Fries,2,2,Plat - Extra,Dish - Extra,Friture,Fried,Au jugement si vous presentez un plat Viande ce plat gagne +2 Gout et vous gagnez 1 Temps.,During judging if you present a Meat dish this gets +2 Taste and you gain 1 Time.,1,1,Americain,American
Deep-Fried Pickles,,Deep-Fried Pickles,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/deep_fried_pickles.png,Dish - Appetizer,Fried,During judging if you present another Fried dish this gets +2 Taste and each opponent gains Food Coma.,#FFF2B8,1,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Cornichons frits,Deep-Fried Pickles,Cornichons frits,Deep-Fried Pickles,2,2,Plat - Entree,Dish - Appetizer,Friture,Fried,Au jugement si vous presentez un autre plat Friture ce plat gagne +2 Gout et chaque adversaire gagne Coma alimentaire.,During judging if you present another Fried dish this gets +2 Taste and each opponent gains Food Coma.,1,1,Americain,American
Sloppy Joe,,Sloppy Joe,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sloppy_joe.png,Dish - Main,"Meat, Tomato",During judging if you present another Tomato dish gain +1 Favor.,#FFF2B8,2,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Sloppy Joe,Sloppy Joe,Sloppy Joe,Sloppy Joe,3,3,Plat - Principal,Dish - Main,"Viande, Tomate","Meat, Tomato",Au jugement si vous presentez un autre plat Tomate gagnez +1 Faveur.,During judging if you present another Tomato dish gain +1 Favor.,2,2,Americain,American
Sushi Set,,Sushi Set,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sushi_set.png,Dish - Main,"Seafood, Rice",During judging if you present Appetizer Main and Dessert gain +2 Favor.,#FFF2B8,3,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Assortiment de sushis,Sushi Set,Assortiment de sushis,Sushi Set,4,4,Plat - Principal,Dish - Main,"Fruits de mer, Riz","Seafood, Rice",Au jugement si vous presentez Entree Plat et Dessert gagnez +2 Faveur.,During judging if you present Appetizer Main and Dessert gain +2 Favor.,3,3,Japonais,Japanese
Onigiri,,Onigiri,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/onigiri.png,Dish - Extra,Rice,"Look at the top 3 cards of your deck. Discard up to 1 of them. If it is a Status, Peel it instead.",#FFF2B8,1,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Onigiri,Onigiri,Onigiri,Onigiri,2,2,Plat - Extra,Dish - Extra,Riz,Rice,"Regardez les 3 premieres cartes de votre deck. Defaussez-en jusqu'a 1. Si c'est un Statut, Epluchez-le a la place.","Look at the top 3 cards of your deck. Discard up to 1 of them. If it is a Status, Peel it instead.",1,1,Japonais,Japanese
Tempura,,Tempura,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tempura.png,Dish - Appetizer,"Seafood, Fried",During judging if you present no duplicate core course this gets +1 Taste.,#FFF2B8,2,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Tempura,Tempura,Tempura,Tempura,3,3,Plat - Entree,Dish - Appetizer,"Fruits de mer, Friture","Seafood, Fried",Au jugement si vous ne presentez aucun doublon de plat de base ce plat gagne +1 Gout.,During judging if you present no duplicate core course this gets +1 Taste.,2,2,Japonais,Japanese
Katsu Curry Rice,,Katsu Curry Rice,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/katsu_curry_rice.png,Dish - Main,"Fried, Rice",If you Peeled this turn this gets +1 Taste.,#FFF2B8,3,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Riz au curry katsu,Katsu Curry Rice,Riz au curry katsu,Katsu Curry Rice,4,4,Plat - Principal,Dish - Main,"Friture, Riz","Fried, Rice",Si vous avez Epluche ce tour ce plat gagne +1 Gout.,If you Peeled this turn this gets +1 Taste.,3,3,Japonais,Japanese
Sashimi,,Sashimi,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sashimi.png,Dish - Appetizer,Seafood,"Draw 2 then discard 1. If you discard a Status, gain 1 Time.",#FFF2B8,2,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Sashimi,Sashimi,Sashimi,Sashimi,3,3,Plat - Entree,Dish - Appetizer,Fruits de mer,Seafood,"Piochez 2 puis defaussez 1. Si vous defaussez un Statut, gagnez 1 Temps.","Draw 2 then discard 1. If you discard a Status, gain 1 Time.",2,2,Japonais,Japanese
Takoyaki,,Takoyaki,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/takoyaki.png,Dish - Extra,"Seafood, Fried","If this is your only Extra, you may Peel 1. Then look at the top 2 cards of your deck. You may put 1 on the bottom of your deck.",#FFF2B8,2,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Takoyaki,Takoyaki,Takoyaki,Takoyaki,3,3,Plat - Extra,Dish - Extra,"Fruits de mer, Friture","Seafood, Fried","Si c'est votre seul Extra, vous pouvez Eplucher 1. Puis regardez les 2 premieres cartes de votre deck. Vous pouvez en mettre 1 sous votre deck.","If this is your only Extra, you may Peel 1. Then look at the top 2 cards of your deck. You may put 1 on the bottom of your deck.",2,2,Japonais,Japanese
Margherita Pizza,,Margherita Pizza,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/margherita_pizza.png,Dish - Main,"Cheese, Tomato",During judging if you present another Cheese or Tomato dish this gets +1 Taste.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Pizza margherita,Margherita Pizza,Pizza margherita,Margherita Pizza,3,3,Plat - Principal,Dish - Main,"Fromage, Tomate","Cheese, Tomato",Au jugement si vous presentez un autre plat Fromage ou Tomate ce plat gagne +1 Gout.,During judging if you present another Cheese or Tomato dish this gets +1 Taste.,2,2,Italien,Italian
Spaghetti Bolognese,,Spaghetti Bolognese,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/spaghetti_bolognese.png,Dish - Main,Tomato,If the Judge does not favor you this gets +2 Taste.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Spaghetti bolo,Spaghetti Bolognese,Spaghetti bolo,Spaghetti Bolognese,3,3,Plat - Principal,Dish - Main,Tomate,Tomato,Si le Juge ne vous favorise pas ce plat gagne +2 Gout.,If the Judge does not favor you this gets +2 Taste.,2,2,Italien,Italian
Caprese,,Caprese,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/caprese.png,Dish - Appetizer,"Cheese, Tomato",During judging if you present a Main gain +1 Favor.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Caprese,Caprese,Caprese,Caprese,3,3,Plat - Entree,Dish - Appetizer,"Fromage, Tomate","Cheese, Tomato",Au jugement si vous presentez un Plat gagnez +1 Faveur.,During judging if you present a Main gain +1 Favor.,2,2,Italien,Italian
Risotto,,Risotto,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/risotto.png,Dish - Main,"Cheese, Rice",During judging if you present another Rice or Cheese dish gain +1 Favor.,#FFF2B8,3,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Risotto,Risotto,Risotto,Risotto,4,4,Plat - Principal,Dish - Main,"Fromage, Riz","Cheese, Rice",Au jugement si vous presentez un autre plat Riz ou Fromage gagnez +1 Faveur.,During judging if you present another Rice or Cheese dish gain +1 Favor.,3,3,Italien,Italian
Tiramisu,,Tiramisu,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tiramisu.png,Dish - Dessert,,If the Judge does not favor you gain +2 Favor.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Tiramisu,Tiramisu,Tiramisu,Tiramisu,3,3,Plat - Dessert,Dish - Dessert,,,Si le Juge ne vous favorise pas gagnez +2 Faveur.,If the Judge does not favor you gain +2 Favor.,2,2,Italien,Italian
Arancini,,Arancini,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/arancini.png,Dish - Appetizer,"Cheese, Rice",During judging if you present another Rice dish gain +1 Favor.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Arancini,Arancini,Arancini,Arancini,3,3,Plat - Entree,Dish - Appetizer,"Fromage, Riz","Cheese, Rice",Au jugement si vous presentez un autre plat Riz gagnez +1 Faveur.,During judging if you present another Rice dish gain +1 Favor.,2,2,Italien,Italian
Ghost Pepper Wings,,Ghost Pepper Wings,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/ghost_pepper_wings.png,Dish - Main,"Meat, Fried","When you present this, Scorch 3.",#FFF2B8,6,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Ailes au piment fantome,Ghost Pepper Wings,Ailes au piment fantome,Ghost Pepper Wings,3,3,Plat - Principal,Dish - Main,"Viande, Friture","Meat, Fried","Quand vous presentez ce plat, Carbonisez 3.","When you present this, Scorch 3.",6,6,Americain,American
Wasabi Challenge,,Wasabi Challenge,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wasabi_challenge.png,Dish - Appetizer,Seafood,"When you present this, Scorch 2. If you Scorched a Status this way, gain 1 Favor.",#FFF2B8,4,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Defi wasabi,Wasabi Challenge,Defi wasabi,Wasabi Challenge,2,2,Plat - Entree,Dish - Appetizer,Fruits de mer,Seafood,"Quand vous presentez ce plat, Carbonisez 2. Si vous avez Carbonise un Statut ainsi, gagnez 1 Faveur.","When you present this, Scorch 2. If you Scorched a Status this way, gain 1 Favor.",4,4,Japonais,Japanese
Side Salad,,Side Salad,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/side_salad.png,Dish - Flexible,,"When you present this, choose which course it counts as.",#FFF2B8,1,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Salade d'accompagnement,Side Salad,Salade d'accompagnement,Side Salad,2,2,Plat - Flexible,Dish - Flexible,,,"Quand vous presentez ce plat, choisissez pour quel service il compte.","When you present this, choose which course it counts as.",1,1,Neutre,Neutral
Tasting Menu,,Tasting Menu,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tasting_menu.png,Dish - Flexible,,"When you present this, choose which course it counts as. If it completes all 3 core courses, gain 1 Time.",#FFF2B8,2,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Menu degustation,Tasting Menu,Menu degustation,Tasting Menu,4,4,Plat - Flexible,Dish - Flexible,,,"Quand vous presentez ce plat, choisissez pour quel service il compte. S'il complete les 3 services de base, gagnez 1 Temps.","When you present this, choose which course it counts as. If it completes all 3 core courses, gain 1 Time.",2,2,Neutre,Neutral
Knife Skills,,Knife Skills,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/knife_skills.png,Technique,,Upgrade a starter card by up to 2.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Coup de couteau,Knife Skills,Coup de couteau,Knife Skills,3,3,Technique,Technique,,,Ameliorez une carte de depart de jusqu'a 2.,Upgrade a starter card by up to 2.,,,Neutre,Neutral
Clean Station,,Clean Station,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/clean_station.png,Technique,,"Peel up to 2 starter cards. If you peeled no cards this way, Peel Clean Station.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Plan de travail propre,Clean Station,Plan de travail propre,Clean Station,3,3,Technique,Technique,,,"Epluchez jusqu'a 2 cartes de depart. Si vous n'en avez Epluche aucune ainsi, Epluchez Plan de travail propre.","Peel up to 2 starter cards. If you peeled no cards this way, Peel Clean Station.",,,Neutre,Neutral
Taste Test,,Taste Test,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/taste_test.png,Technique,,Draw 3 then discard 1. You may Peel a starter or Status from your discard pile.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Degustation,Taste Test,Degustation,Taste Test,2,2,Technique,Technique,,,Piochez 3 puis defaussez 1. Vous pouvez Eplucher une carte de depart ou un Statut de votre defausse.,Draw 3 then discard 1. You may Peel a starter or Status from your discard pile.,,,Neutre,Neutral
Heckle,,Heckle,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/heckle.png,Technique,,"Each opponent gains a Distraction. If there is only one opponent, they gain 2 Distractions instead.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Provocation,Heckle,Provocation,Heckle,5,5,Technique,Technique,,,"Chaque adversaire gagne une Distraction. S'il n'y a qu'un adversaire, il gagne 2 Distractions a la place.","Each opponent gains a Distraction. If there is only one opponent, they gain 2 Distractions instead.",,,Neutre,Neutral
Perfect,,Perfect,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/perfect.png,Technique,,Choose a Dish. Double its Taste this turn.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Parfait,Perfect,Parfait,Perfect,4,4,Technique,Technique,,,Choisissez un plat. Doublez son Gout ce tour-ci.,Choose a Dish. Double its Taste this turn.,,,Francais,French
Mock,,Mock,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mock.png,Reaction,,Choose an opponent's highest-Taste presented dish. It gets -2 Taste this turn. Draw 1.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Moquerie,Mock,Moquerie,Mock,3,3,Reaction,Reaction,,,Choisissez le plat presente avec le plus de Gout chez un adversaire. Il gagne -2 Gout ce tour-ci. Piochez 1.,Choose an opponent's highest-Taste presented dish. It gets -2 Taste this turn. Draw 1.,,,Francais,French
Drown in Butter,,Drown in Butter,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/drown_in_butter.png,Reaction,,Choose an opponent's presented dish. If it is not French it gets -3 Taste this turn and its owner gains Food Coma.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Noyer dans le beurre,Drown in Butter,Noyer dans le beurre,Drown in Butter,3,3,Reaction,Reaction,,,Choisissez un plat adverse presente. S'il n'est pas Francais il gagne -3 Gout ce tour-ci et son proprietaire gagne Coma alimentaire.,Choose an opponent's presented dish. If it is not French it gets -3 Taste this turn and its owner gains Food Coma.,,,Francais,French
Mine Is Better,,Mine Is Better,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mine_is_better.png,Reaction,,Reveal a Dish from your hand. If it has more Taste than an opponent's presented dish that dish gets -3 Taste this turn.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Le mien est meilleur,Mine Is Better,Le mien est meilleur,Mine Is Better,4,4,Reaction,Reaction,,,Revelez un plat de votre main. S'il a plus de Gout qu'un plat adverse presente ce plat gagne -3 Gout ce tour-ci.,Reveal a Dish from your hand. If it has more Taste than an opponent's presented dish that dish gets -3 Taste this turn.,,,Francais,French
Bon Appetit!,,Bon Appetit!,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bon_appetit.png,Technique,,Draw 1. During judging if one of your dishes has 5 or more Taste gain +2 Favor.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Bon appetit!,Bon Appetit!,Bon appetit!,Bon Appetit!,3,3,Technique,Technique,,,Piochez 1. Au jugement si l'un de vos plats a au moins 5 Gout gagnez +2 Faveur.,Draw 1. During judging if one of your dishes has 5 or more Taste gain +2 Favor.,,,Francais,French
Supersize Me!,,Supersize Me!,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/supersize_me.png,Technique,,During judging copy one of your dishes as an additional presented dish.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Supersize Me!,Supersize Me!,Supersize Me!,Supersize Me!,5,5,Technique,Technique,,,Au jugement copiez l'un de vos plats comme plat presente supplementaire.,During judging copy one of your dishes as an additional presented dish.,,,Americain,American
More Meat!,,More Meat!,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_meat.png,Technique,Meat,Your Meat dishes get +1 Taste this turn. During judging if you present at least 2 Meat dishes gain +2 Favor.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Plus de viande!,More Meat!,Plus de viande!,More Meat!,3,3,Technique,Technique,Viande,Meat,Vos plats Viande gagnent +1 Gout ce tour-ci. Au jugement si vous presentez au moins 2 plats Viande gagnez +2 Faveur.,Your Meat dishes get +1 Taste this turn. During judging if you present at least 2 Meat dishes gain +2 Favor.,,,Americain,American
Deep Fry,,Deep Fry,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/deep_fry.png,Technique,Fried,Choose a Dish. It becomes Fried this turn and gets +2 Taste.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Frire,Deep Fry,Frire,Deep Fry,3,3,Technique,Technique,Friture,Fried,Choisissez un plat. Il devient Friture ce tour-ci et gagne +2 Gout.,Choose a Dish. It becomes Fried this turn and gets +2 Taste.,,,Americain,American
