nom,dos,Name,time_cost,time_cost_background_color,artwork,type_line_left,tags_text,rules_text,taste_background_color,taste,faction,background_color,Name_taille,Name_police,Name_gras,Name_italique,Name_souligne,Name_couleurTexte,Name_couleurFond,time_cost_taille,time_cost_police,time_cost_gras,time_cost_italique,time_cost_souligne,time_cost_couleurTexte,time_cost_couleurFond,type_line_left_taille,type_line_left_police,type_line_left_gras,type_line_left_italique,type_line_left_souligne,type_line_left_couleurTexte,type_line_left_couleurFond,tags_text_taille,tags_text_police,tags_text_gras,tags_text_italique,tags_text_souligne,tags_text_couleurTexte,tags_text_couleurFond,rules_text_taille,rules_text_police,rules_text_gras,rules_text_italique,rules_text_souligne,rules_text_couleurTexte,rules_text_couleurFond,taste_taille,taste_police,taste_gras,taste_italique,taste_souligne,taste_couleurTexte,taste_couleurFond,faction_taille,faction_police,faction_gras,faction_italique,faction_souligne,faction_couleurTexte,faction_couleurFond,tags,folder,langue,fr_nom,en_nom,fr_Name,en_Name,fr_time_cost,en_time_cost,fr_type_line_left,en_type_line_left,fr_tags_text,en_tags_text,fr_rules_text,en_rules_text,fr_taste,en_taste,fr_faction,en_faction
Bureaucratic Cheese Inspection,,Bureaucratic Cheese Inspection,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bureaucratic_cheese_inspection.png,Passive,Cheese,"The first time each turn that an opponent presents a dish with 3 or less Taste, they gain a Yelp Review.

Your tagless dishes cost 1 more Time to learn.",#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Bureaucratic Cheese Inspection,,Bureaucratic Cheese Inspection,,6,,Passive,,Cheese,,"Whenever an opponent presents a dish with 5 or more Taste, they gain a Yelp Review. Your tagless dishes cost 1 more Time to learn.",,,,French
Burger,,Burger,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/burger.png,Dish - Main,"Meat, Tomato",During judging if you present an Extra this gets +1 Taste.,#FFF2B8,2,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Burger,,Burger,,3,,Dish - Main,,"Meat, Tomato",,During judging if you present an Extra this gets +1 Taste.,,2,,American
Burger Diplomacy,,Burger Diplomacy,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/burger_diplomacy.png,Passive,"Meat, Tomato","When you learn this, each opponent gains a Burger from the market deck or supply. Your Burgers get +2 Taste. Opponents' Burgers count as Statuses for your effects.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Burger Diplomacy,,Burger Diplomacy,,6,,Passive,,"Meat, Tomato",,"When you learn this, each opponent gains a Burger from the market deck or supply. Your Burgers get +2 Taste. Opponents' Burgers count as Statuses for your effects.",,,,American
Caprese,,Caprese,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/caprese.png,Dish - Appetizer,"Cheese, Tomato",During judging if you present a Main gain +1 Favor.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Caprese,,Caprese,,3,,Dish - Appetizer,,"Cheese, Tomato",,During judging if you present a Main gain +1 Favor.,,2,,Italian
Cheese Board,,Cheese Board,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/cheese_board.png,Dish - Extra,Cheese,During judging if you present another Cheese dish gain +2 Favor and 1 Time.,#FFF2B8,2,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Cheese Board,,Cheese Board,,3,,Dish - Extra,,Cheese,,During judging if you present another Cheese dish gain +2 Favor and 1 Time.,,2,,French
Cheese Wheel,,Cheese Wheel,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/cheese_wheel.png,Passive,Cheese,Your Cheese dishes get +1 Taste.,#00000000,,French+Italian,#F2C14E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Cheese Wheel,,Cheese Wheel,,5,,Passive,,Cheese,,Your Cheese dishes get +1 Taste.,,,,French+Italian
Chef's Kiss,,Chef's Kiss,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/chefs_kiss.png,Technique,,Draw 2. Choose a Dish on your board; it gets +1 Taste this turn.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Chef's Kiss,,Chef's Kiss,,3,,Technique,,,,Draw 2. Choose a Dish on your board; it gets +1 Taste this turn.,,,,French
Clean Station,,Clean Station,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/clean_station.png,Technique,,Choose one - Peel up to 2 starter cards; or Peel Clean Station.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Clean Station,,Clean Station,,3,,Technique,,,,Choose one - Peel up to 2 starter cards; or Peel Clean Station.,,,,Neutral
Conveyor Belt,,Conveyor Belt,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/conveyor_belt.png,Passive,,"At the start of your turn, before drawing, look at the top 5 cards of your deck. You may discard any Statuses among them. Put any number of the rest on the bottom of your deck and the rest on top in any order.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Conveyor Belt,,Conveyor Belt,,5,,Passive,,,,"At the start of your turn, before drawing, look at the top 5 cards of your deck. You may discard any Statuses among them. Put any number of the rest on the bottom of your deck and the rest on top in any order.",,,,Japanese
Conveyor Belt Shogunate,,Conveyor Belt Shogunate,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/conveyor_belt_shogunate.png,Passive,,"At the start of your turn each player Scorches 1. If the card you Scorch this way is a Dish, you may present it this turn.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Conveyor Belt Shogunate,,Conveyor Belt Shogunate,,6,,Passive,,,,"At the start of your turn each player Scorches 1. If the card you Scorch this way is a Dish, you may present it this turn.",,,,Japanese
Cultural Appropriation,,Cultural Appropriation,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_appropriate.png,Faction passive,,"Whenever an opponent presents only dishes from one faction, after scoring steal their lowest-Taste presented dish and add it to your discard pile.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,FACTION - Appropriate,,FACTION - Appropriate,,7,,Faction,,,,"Whenever an opponent presents only dishes from one faction, after scoring steal their lowest-Taste presented dish and add it to your discard pile.",,,,American
Deep Fry,,Deep Fry,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/deep_fry.png,Technique,Fried,Choose a Dish. It becomes Fried this turn and gets +3 Taste.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Deep Fry,,Deep Fry,,3,,Technique,,Fried,,Choose a Dish. It becomes Fried this turn and gets +2 Taste.,,,,American
Deep-Fried Pickles,,Deep-Fried Pickles,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/deep_fried_pickles.png,Dish - Appetizer,Fried,"During judging if you present another Fried dish, each opponent gains Food Coma.",#FFF2B8,1,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Deep-Fried Pickles,,Deep-Fried Pickles,,2,,Dish - Appetizer,,Fried,,During judging if you present another Fried dish this gets +2 Taste and each opponent gains Food Coma.,,1,,American
Distraction,,Distraction,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/distraction.png,Status,,No effect. It is still annoying.,#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Distraction,,Distraction,,,,Status,,,,No effect. It is still annoying.,,,,Neutral
Doomscroll The Menu,,Doomscroll The Menu,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/doomscroll_the_menu.png,Technique,,Look at the top 5 cards of your deck. Put 2 into your hand and discard the rest. Gain a Distraction.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Doomscroll The Menu,,Doomscroll The Menu,,2,,Technique,,,,Look at the top 5 cards of your deck. Put 2 into your hand and discard the rest. Gain a Distraction.,,,,Neutral
Drown in Butter,,Drown in Butter,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/drown_in_butter.png,Reaction,,Choose an opponent's presented dish. If it is not French it gets -2 Taste this turn and its owner gains Food Coma.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Drown in Butter,,Drown in Butter,,3,,Reaction,,,,Choose an opponent's presented dish. If it is not French it gets -3 Taste this turn and its owner gains Food Coma.,,,,French
Escargots,,Escargots,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/escargots.png,Dish - Appetizer,Seafood,If the Judge does not favor you this gets +2 Taste.,#FFF2B8,2,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Escargots,,Escargots,,3,,Dish - Appetizer,,Seafood,,If the Judge does not favor you this gets +2 Taste.,,2,,French
Foie Gras Toast,,Foie Gras Toast,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/foie_gras_toast.png,Dish - Appetizer,Meat,"During judging, If this is your only Appetizer it gets +2 Taste.",#FFF2B8,5,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Foie Gras Toast,,Foie Gras Toast,,5,,Dish - Appetizer,,Meat,,If this is your only Appetizer it gets +2 Taste.,,5,,French
Food Coma,,Food Coma,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/food_coma.png,Status,,"While this is in your hand, your first card learned each turn costs 1 more Time.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Food Coma,,Food Coma,,,,Status,,,,"While this is in your hand, your first card learned each turn costs 1 more Time.",,,,Neutral
Foreigner Mistrust,,Foreigner Mistrust,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/foreigner_mistrust.png,Passive,,"At the start of your turn, each opponent gains a Judgment.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Foreigner Mistrust,,Foreigner Mistrust,,5,,Passive,,,,"At the start of your turn, each opponent gains a Judgment.",,,,Japanese
Freedom Fries,,Freedom Fries,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/french_fries.png,Dish - Extra,Fried,During judging if you present a Meat dish this gets +2 Taste and you gain 1 Time.,#FFF2B8,1,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Freedom Fries,,Freedom Fries,,2,,Dish - Extra,,Fried,,During judging if you present a Meat dish this gets +2 Taste and you gain 1 Time.,,1,,American
Freedom Isn't Free Refills,,Freedom Isn't Free Refills,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/freedom_isnt_free_refills.png,Technique,,"Gain 2 Time.

At judging, if you present 3 or more dishes, each opponent gains Food Coma.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Freedom Isn't Free Refills,,Freedom Isn't Free Refills,,3,,Technique,,,,Gain 2 Time. Each opponent gains Food Coma. During judging if you present an Extra gain +1 Favor.,,,,American
Fridge Raid,,Fridge Raid,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fridge_raid.png,Technique,,"Destroy target fridged card. If you do, its owner gains Food Coma.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Fridge Raid,,Fridge Raid,,3,,Technique,,,,"Look at an opponent's Fridge. You may discard that card. If you do, that opponent gains Food Coma.",,,,American
Fried Chicken,,Fried Chicken,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fried_chicken.png,Dish - Main,"Meat, Fried",During judging if you present another Fried dish this gets +2 Taste.,#FFF2B8,3,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Fried Chicken,,Fried Chicken,,4,,Dish - Main,,"Meat, Fried",,During judging if you present another Fried dish this gets +2 Taste.,,3,,American
Fry Station,,Fry Station,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fry_station.png,Passive,Fried,During judging if you present a Fried dish gain +2 Favor.,#00000000,,American+Japanese,#D9822B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Fry Station,,Fry Station,,4,,Passive,,Fried,,During judging if you present a Fried dish gain +2 Favor.,,,,American+Japanese
Ghost Pepper Wings,,Ghost Pepper Wings,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/ghost_pepper_wings.png,Dish - Main,"Meat, Fried","When you present this, Scorch 3.",#FFF2B8,6,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Ghost Pepper Wings,,Ghost Pepper Wings,,3,,Dish - Main,,"Meat, Fried",,"When you present this, Scorch 3.",,6,,American
Health Inspection,,Health Inspection,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/health_inspection.png,Status,,"During judging if you present 3 or more dishes, lose 1 Favor. Then Peel Health Inspection.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Health Inspection,,Health Inspection,,,,Status,,,,"During judging if you present 3 or more dishes, lose 1 Favor. Then Peel Health Inspection.",,,,Neutral
Health Inspector Raid,,Health Inspector Raid,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/health_inspector_raid.png,Technique,,Each opponent gains a Health Inspection. Rotate the whole market.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Health Inspector Raid,,Health Inspector Raid,,4,,Technique,,,,Each opponent gains a Health Inspection. Rotate the whole market.,,,,Neutral
Heckle,,Heckle,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/heckle.png,Technique,,"Each opponent gains a Distraction. If there is only one opponent, they gain 2 Distractions instead.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Heckle,,Heckle,,5,,Technique,,,,"Each opponent gains a Distraction. If there is only one opponent, they gain 2 Distractions instead.",,,,Neutral
Hot Dog,,Hot Dog,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/hot_dog.png,Dish - Main,Meat,"During judging if you present another Main this gets +1 Taste. If that Main is Meat, gain 1 Time.",#FFF2B8,1,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Hot Dog,,Hot Dog,,2,,Dish - Main,,Meat,,"During judging if you present another Main this gets +2 Taste. If that Main is Meat, gain 1 Time.",,2,,American
Influencer Kitchen,,Influencer Kitchen,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/influencer_kitchen.png,Passive,,"Whenever you give a Status to an opponent, gain 2 Favor.

At the start of your Fridge step, if you gave no Status this turn, gain a Distraction.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Influencer Kitchen,,Influencer Kitchen,,4,,Passive,,,,"Whenever you give a Status to an opponent, gain 1 Favor. At the start of your Fridge step, if you gave no Status this turn, gain a Distraction.",,,,Neutral
Judgment,,Judgment,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/judgment.png,Status,,"When drawn, reveal the top card of your deck. Peel it unless it is Japanese. Then Peel Judgment.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Judgment,,Judgment,,,,Status,,,,"When drawn, reveal the top card of your deck. Peel it unless it is Japanese. Then Peel Judgment.",,,,Neutral
Katsu Curry Rice,,Katsu Curry Rice,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/katsu_curry_rice.png,Dish - Main,"Fried, Rice",If you Peeled this turn this gets +1 Taste.,#FFF2B8,3,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Katsu Curry Rice,,Katsu Curry Rice,,4,,Dish - Main,,"Fried, Rice",,If you Peeled this turn this gets +1 Taste.,,3,,Japanese
Ketchup Me That,,Ketchup Me That,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/ketchup_me_that.png,Technique,"Meat, Fried",Choose a Meat or Fried dish. It gets +2 Taste.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Ketchup Me That,,Ketchup Me That,,2,,Technique,,"Meat, Fried",,Choose a Meat or Fried dish. It gets +2 Taste.,,,,American
Knife Skills,,Knife Skills,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/knife_skills.png,Technique,,"Choose a starter card you played this turn. If it is Prep, gain 2 Time. If it is Simple Soup, it gets +2 Taste this turn.
Draw 1.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Knife Skills,,Knife Skills,,3,,Technique,,,,"Choose a starter card you played this turn. If it is Prep, gain 2 Time. If it is Simple Soup, it gets +2 Taste this turn.",,,,Neutral
