nom,dos,Name,time_cost,time_cost_background_color,background_color,artwork,type_line_left,tags,tags_text,rules_text,taste,taste_background_color,faction,folder
"Mangia, Mangia!",,"Mangia, Mangia!",2,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mangia_mangia.png,Technique,,,Piochez 1. Si le Juge favorise votre adversaire piochez 2 et gagnez 1 Temps a la place.,,#00000000,Italien,DishDeckbuilder
Mamma Mia!,,Mamma Mia!,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mamma_mia.png,Technique,,,Revelez des cartes de votre deck jusqu'a reveler un plat. Mettez-le dans votre main. Si le Juge favorise votre adversaire vous pouvez le presenter ce tour-ci.,,#00000000,Italien,DishDeckbuilder
Secondo,,Secondo,6,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/secondo.png,Technique,,,Au jugement scorez une deuxieme fois un Plat.,,#00000000,Italien,DishDeckbuilder
Casser les spaghetti est un crime,,Casser les spaghetti est un crime,4,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/breaking_spaghetti_is_a_crime.png,Reaction,,,Si un adversaire a modifie un plat ce tour-ci donnez-lui une Distraction et ce plat gagne -2 Gout.,,#00000000,Italien,DishDeckbuilder
Plus d'huile d'olive!,,Plus d'huile d'olive!,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_olive_oil.png,Technique,,"Tomate, Fromage",Choisissez un plat Tomate ou Fromage. Il gagne +2 Gout. Si le Juge favorise votre adversaire il gagne +3 Gout a la place.,,#00000000,Italien,DishDeckbuilder
Plus de parmigiano!,,Plus de parmigiano!,2,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_parmigiano.png,Technique,,"Fromage, Tomate",Choisissez un Plat. Il gagne +2 Gout. Si c'est Fromage ou Tomate il gagne +3 Gout a la place.,,#00000000,Italien,DishDeckbuilder
5 etoiles,,5 etoiles,7,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/five_stars.png,Passif,,,Au jugement si l'un de vos plats a strictement plus de Gout que chaque plat adverse gagnez +2 Faveur.,,#00000000,Francais,DishDeckbuilder
Refills a volonte,,Refills a volonte,5,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bottomless_refills.png,Passif,,,Au jugement si vous presentez un Extra gagnez +2 Faveur.,,#00000000,Americain,DishDeckbuilder
Tapis roulant,,Tapis roulant,5,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/conveyor_belt.png,Passif,,,Au debut de votre tour regardez les 3 premieres cartes de votre deck et remettez-les dans l'ordre de votre choix.,,#00000000,Japonais,DishDeckbuilder
Table de Nonna,,Table de Nonna,6,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonnas_table.png,Passif,,,La premiere fois chaque tour que vous presentez au moins 4 plats gagnez +2 Faveur. Si le Juge favorise votre adversaire gagnez +3 Faveur a la place.,,#00000000,Italien,DishDeckbuilder
Steakhouse,,Steakhouse,5,#D6A23A,#9A4D2E,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/steakhouse.png,Passif,,Viande,Votre premier plat Viande chaque tour gagne +1 Gout. Au jugement si vous presentez au moins 2 plats Viande gagnez +2 Faveur.,,#00000000,Francais+Americain,DishDeckbuilder
Comptoir de la mer,,Comptoir de la mer,4,#D6A23A,#1F8A9B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/seafood_counter.png,Passif,,Fruits de mer,Au jugement si vous presentez un plat Fruits de mer gagnez +1 Faveur et vous pouvez Eplucher 1.,,#00000000,Francais+Japonais,DishDeckbuilder
Meule de fromage,,Meule de fromage,5,#D6A23A,#F2C14E,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/cheese_wheel.png,Passif,,Fromage,Vos plats Fromage gagnent +1 Gout.,,#00000000,Francais+Italien,DishDeckbuilder
Station de friture,,Station de friture,4,#D6A23A,#D9822B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fry_station.png,Passif,,Friture,Au jugement si vous presentez un plat Friture gagnez +2 Faveur.,,#00000000,Americain+Japonais,DishDeckbuilder
Empire de sauce rouge,,Empire de sauce rouge,4,#D6A23A,#D6453D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/red_sauce_empire.png,Passif,,Tomate,Vos plats Tomate gagnent +1 Gout et coutent 1 de moins a apprendre.,,#00000000,Americain+Italien,DishDeckbuilder
Cuiseur a riz,,Cuiseur a riz,4,#D6A23A,#E6D8B8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/rice_cooker.png,Passif,,Riz,Les plats Riz coutent 1 de moins a apprendre. Le premier plat Riz que vous apprenez chaque tour va au-dessus de votre deck meme si ce n'est pas votre premiere carte apprise.,,#00000000,Japonais+Italien,DishDeckbuilder
Distraction,,Distraction,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/distraction.png,Statut,,,Aucun effet.,,#00000000,Neutre,DishDeckbuilder
