id,name_en,name_fr,factions,frame_color,copies,time_cost,type,effect_en,effect_fr,cares_about_tags,notes,artwork_url
burger_diplomacy,Burger Diplomacy,Diplomatie du burger,American,#C44736,1,6,Passive,"When you learn this, each opponent gains a Burger from the market deck or supply. Your Burgers get +2 Taste. Opponents' Burgers count as Statuses for your effects.","Quand vous apprenez cette carte, chaque adversaire gagne un Burger depuis le deck de marche ou la reserve. Vos Burgers gagnent +2 Gout. Les Burgers adverses comptent comme des Statuts pour vos effets.",Meat|Tomato,One-copy American legendary; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/burger_diplomacy.png
bureaucratic_cheese_inspection,Bureaucratic Cheese Inspection,Inspection bureaucratique du fromage,French,#2F5DA8,1,6,Passive,"Whenever an opponent presents a dish with 5 or more Taste, they gain a Yelp Review. Your tagless dishes cost 1 more Time to learn.","Chaque fois qu'un adversaire presente un plat avec au moins 5 Gout, il gagne Avis Yelp. Vos plats sans tag coutent 1 Temps de plus a apprendre.",Cheese,One-copy French legendary with downside; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bureaucratic_cheese_inspection.png
conveyor_belt_shogunate,Conveyor Belt Shogunate,Shogunat du tapis roulant,Japanese,#2F7D6D,1,6,Passive,"At the start of your turn each player Peels the top card of their deck. If you Peel a Dish this way, you may present it this turn.","Au debut de votre tour chaque joueur Epluche la carte du dessus de son deck. Si vous Epluchez un Plat ainsi, vous pouvez le presenter ce tour-ci.",,One-copy Japanese extreme peel passive; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/conveyor_belt_shogunate.png
nonnas_witness_protection,Nonna's Witness Protection,Protection des temoins de Nonna,Italian,#3F8F45,1,6,Passive,"The first time each turn an opponent gives you a Status, give that opponent Shame. Whenever an opponent gains Shame, gain 1 Favor.","La premiere fois chaque tour qu'un adversaire vous donne un Statut, donnez Honte a cet adversaire. Chaque fois qu'un adversaire gagne Honte, gagnez 1 Faveur.",,One-copy Italian revenge passive; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonnas_witness_protection.png
influencer_kitchen,Influencer Kitchen,Cuisine d'influenceur,Neutral,#7A7A72,1,4,Passive,"Whenever you give a Status to an opponent, gain 1 Favor. At the start of your Fridge step, if you gave no Status this turn, gain a Distraction.","Chaque fois que vous donnez un Statut a un adversaire, gagnez 1 Faveur. Au debut de votre etape Frigo, si vous n'avez donne aucun Statut ce tour-ci, gagnez une Distraction.",,Common status direction with real downside; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/influencer_kitchen.png
review_bomb_campaign,Review Bomb Campaign,Campagne de review bombing,Neutral,#6C5A7B,1,7,Passive,"Whenever you add a Status to an opponent's deck, put 1 token here. If there are 7 or more tokens here at judging, you win the game.","Chaque fois que vous ajoutez un Statut au deck d'un adversaire, mettez 1 jeton ici. S'il y a au moins 7 jetons ici au jugement, vous gagnez la partie.",,Status quest alternate win condition; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/review_bomb_campaign.png
meal_prep_subscription,Meal Prep Subscription,Abonnement meal prep,Neutral,#7A7A72,1,5,Passive,"The first time each turn you draw 2 or more cards from one effect, gain 1 Time. At the start of your Fridge step, if you have no cards in hand, draw 1.","La premiere fois chaque tour que vous piochez au moins 2 cartes avec un effet, gagnez 1 Temps. Au debut de votre etape Frigo, si vous n'avez aucune carte en main, piochez 1.",,Common draw-engine direction; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/meal_prep_subscription.png
algorithmic_menu,Algorithmic Menu,Menu algorithmique,Neutral,#7A7A72,1,4,Passive,"At the start of your turn look at the top 2 cards of your deck. You may discard 1. If you discard a Status this way, gain 1 Favor.","Au debut de votre tour regardez les 2 premieres cartes de votre deck. Vous pouvez en defausser 1. Si vous defaussez un Statut ainsi, gagnez 1 Faveur.",,Common selection passive with status reward; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/algorithmic_menu.png
meal_prep_containers,Meal Prep Containers,Boites de meal prep,Neutral,#7A7A72,1,4,Passive,"At the start of your turn, if your Fridge is full, gain 1 Time. The first Dish you play from your Fridge each turn gets +1 Taste.","Au debut de votre tour, si votre Frigo est plein, gagnez 1 Temps. Le premier Plat que vous jouez depuis votre Frigo chaque tour gagne +1 Gout.",,Common Fridge direction card; generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/meal_prep_containers.png
faction_appropriate,FACTION - Appropriate,FACTION - Appropriation,American,#C44736,1,7,Faction,"Whenever an opponent presents only dishes from one faction, after scoring steal their lowest-Taste presented dish and add it to your discard pile.","Chaque fois qu'un adversaire presente uniquement des plats d'une seule faction, apres le score volez son plat presente avec le plus faible Gout et ajoutez-le a votre defausse.",,Adapted from website hand-made faction card. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_appropriate.png
faction_legislation,FACTION - Legislation,FACTION - Legislation,French,#2F5DA8,1,7,Faction,"During judging, if your highest-Taste dish has strictly more Taste than each opponent's highest-Taste dish, gain 2 Favor and each opponent loses 1 Favor.","Au jugement, si votre plat avec le plus de Gout a strictement plus de Gout que le meilleur plat de chaque adversaire, gagnez 2 Faveur et chaque adversaire perd 1 Faveur.",,Adapted from website hand-made faction card. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_legislation.png
faction_less_is_more,FACTION - Less Is More,FACTION - Moins c'est plus,Japanese,#2F7D6D,1,7,Faction,"Whenever an opponent draws 3 or more cards from one effect, that opponent Scorches 1.","Chaque fois qu'un adversaire pioche au moins 3 cartes avec un effet, cet adversaire Carbonise 1.",,Adapted from website hand-made faction card. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_less_is_more.png
faction_without_cream,FACTION - Without Cream!,FACTION - Sans creme !,Italian,#3F8F45,1,7,Faction,"At the start of your turn, if an opponent gained more Favor than you on their last turn, gain Favor equal to the difference, up to 3.","Au debut de votre tour, si un adversaire a gagne plus de Faveur que vous pendant son dernier tour, gagnez autant de Faveur que la difference, jusqu'a 3.",,Adapted from website hand-made faction card. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_without_cream.png
foreigner_mistrust,Foreigner Mistrust,Mefiance envers les etrangers,Japanese,#2F7D6D,1,5,Passive,"At the start of your turn, each opponent gains a Judgment.","Au debut de votre tour, chaque adversaire gagne un Jugement.",,Adapted from website hand-made passive. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/foreigner_mistrust.png
wage_inequalities,Wage Inequalities,Inegalites salariales,French,#2F5DA8,1,5,Passive,"Whenever you present a dish with 5 or more Taste, each opponent gains Strike.","Chaque fois que vous presentez un plat avec au moins 5 Gout, chaque adversaire gagne Greve.",,Adapted from website hand-made passive. Generated v1 art.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wage_inequalities.png
