quantity,folder,card_name
1,DishDeckbuilder/v0.2,Station de friture
1,DishDeckbuilder/v0.2,Empire de sauce rouge
1,DishDeckbuilder/v0.2,Cuiseur a riz
1,DishDeckbuilder/v0.2,Diplomatie du burger
1,DishDeckbuilder/v0.2,Inspection bureaucratique du fromage
1,DishDeckbuilder/v0.2,Shogunat du tapis roulant
1,DishDeckbuilder/v0.2,Protection des temoins de Nonna
1,DishDeckbuilder/v0.2,Cuisine d'influenceur
1,DishDeckbuilder/v0.2,Campagne de review bombing
1,DishDeckbuilder/v0.2,Abonnement meal prep
1,DishDeckbuilder/v0.2,Menu algorithmique
1,DishDeckbuilder/v0.2,Boites de meal prep
1,DishDeckbuilder/v0.2,FACTION - Appropriation
1,DishDeckbuilder/v0.2,FACTION - Legislation
1,DishDeckbuilder/v0.2,FACTION - Moins c'est plus
1,DishDeckbuilder/v0.2,FACTION - Sans creme !
1,DishDeckbuilder/v0.2,Mefiance envers les etrangers
1,DishDeckbuilder/v0.2,Inegalites salariales
6,DishDeckbuilder/v0.2,Distraction
6,DishDeckbuilder/v0.2,Coma alimentaire
6,DishDeckbuilder/v0.2,Avis Yelp
6,DishDeckbuilder/v0.2,Inspection sanitaire
6,DishDeckbuilder/v0.2,Greve
6,DishDeckbuilder/v0.2,Honte
6,DishDeckbuilder/v0.2,Jugement
6,DishDeckbuilder/v0.2,Mangia Mangia !
6,DishDeckbuilder/v0.2,En greve
6,DishDeckbuilder/v0.2,On a entendu que vous aviez du petrole
